Clinician Name,Clinician ID,Employment Type,Primary Location,Specialty,License Type,License Number,License Expiration,NPI Number,Insurance Panels,Supervisor,Start Date,Current Status,Max Weekly Sessions,Current Patient Count,Availability %,Background Check Date,Background Check Status,Notes
Dr. Sarah Mitchell,CL-2001,Employee,Main Office,Child/Adolescent,LCSW,SW123456,2026-08-15,1234567890,"Aetna|Blue Cross|UnitedHealthcare|Cigna|Medicaid",,2020-03-15,Active,35,28,20,2025-06-01,Current,Senior clinician - EMDR certified
Jennifer Rodriguez,CL-2002,Employee,Westside Clinic,Family Therapy,LMFT,MFT234567,2026-11-30,1234567891,"Aetna|Blue Cross|UnitedHealthcare|Medicaid",Dr. Sarah Mitchell,2021-06-01,Active,32,25,22,2025-08-15,Current,Specializes in trauma-informed care
Michael Chen,CL-2003,Contractor,Lincoln Elementary,Child,LPC,PC345678,2027-03-20,1234567892,"Blue Cross|UnitedHealthcare|Medicaid",,2019-09-01,Active,25,22,12,2025-09-10,Current,School-based services specialist
Emily Thompson,CL-2004,Employee,Riverside Ranch,Equine Therapy,LCSW,SW456789,2026-05-10,1234567893,"Aetna|Blue Cross|Self-Pay",,2018-04-20,Active,20,18,10,2025-05-20,Current,Certified equine therapy specialist
David Martinez,CL-2005,Employee,Main Office,Adolescent,Provisional LCSW,SW567890,2026-09-25,1234567894,"Aetna|Medicaid",Dr. Sarah Mitchell,2023-01-10,Active,30,15,50,2025-07-01,Current,Under supervision - excellent progress
Amanda Williams,CL-2006,Employee,Westside Clinic,Child/Family,LMFT,MFT678901,2026-12-15,1234567895,"Blue Cross|UnitedHealthcare|Cigna|Medicaid",,2017-11-05,Active,35,32,9,2025-10-15,Current,Bilingual (Spanish/English)
Christopher Lee,CL-2007,Contractor,Roosevelt Middle School,Adolescent,LPC,PC789012,2027-01-30,1234567896,"Aetna|Blue Cross|Medicaid",,2020-08-15,Active,28,24,14,2025-11-20,Current,School-based counseling
Jessica Brown,CL-2008,Employee,Main Office,EMDR,LCSW,SW890123,2026-04-05,1234567897,"Aetna|Blue Cross|UnitedHealthcare|Cigna",Dr. Sarah Mitchell,2022-02-01,Active,32,29,9,2025-04-10,Expiring Soon,EMDR Level 2 certified
Robert Garcia,CL-2009,Intern,Westside Clinic,Child,Intern,INT901234,2026-06-30,1234567898,Medicaid,Jennifer Rodriguez,2025-09-01,Onboarding,20,8,60,2025-09-01,Current,MSW student - completing practicum
Lisa Anderson,CL-2010,Employee,Washington High,Adolescent,LPC,PC012345,2026-10-20,1234567899,"Blue Cross|UnitedHealthcare|Medicaid",,2019-05-10,Active,30,27,10,2025-08-25,Current,DBT trained
Thomas Wilson,CL-2011,Employee,Main Office,Family Therapy,LMFT,MFT123458,2027-02-15,1234567800,"Aetna|Blue Cross|UnitedHealthcare|Cigna|Medicaid",,2016-01-20,Active,35,30,14,2025-12-01,Current,20+ years experience
Rachel Moore,CL-2012,Contractor,Riverside Ranch,Equine Therapy,Provisional LMFT,MFT234569,2026-07-10,1234567801,"Aetna|Self-Pay",Emily Thompson,2024-03-15,Active,18,12,33,2025-03-15,Current,Equine specialist in training
